,"(mm) Precipitation (CHIRPS) at Polygon 1, 2025-01-01 to 2025-12-31"
"2025-09-08",2.9456
"2025-09-09",0
"2025-09-10",34.2711
"2025-09-11",7.9539
"2025-09-12",14.9807
"2025-09-13",0
"2025-09-14",52.8651
"2025-09-15",10.044
"2025-09-16",0.3967
"2025-09-17",0.1488
"2025-09-18",0
"2025-09-19",27.7466
"2025-09-20",0
"2025-09-21",0
"2025-09-22",1.0456
"2025-09-23",7.2237
"2025-09-24",58.9337
"2025-09-25",0
"2025-09-26",30.2223
"2025-09-27",0
"2025-09-28",8.5825
"2025-09-29",0.7965
"2025-09-30",53.9614
"2025-10-01",18.6056
"2025-10-02",0
"2025-10-03",5.6218
"2025-10-04",123.2437
"2025-10-05",3.5878
"2025-10-06",0.4903
"2025-10-07",2.6459
"2025-10-08",2.6483
"2025-10-09",0.0225
"2025-10-10",0.0001
"2025-10-11",0
"2025-10-12",0
"2025-10-13",0
"2025-10-14",0
"2025-10-15",0
"2025-10-16",0
"2025-10-17",0
"2025-10-18",0
"2025-10-19",0
"2025-10-20",0
"2025-10-21",0
"2025-10-22",0
"2025-10-23",0
"2025-10-24",0
"2025-10-25",0
"2025-10-26",0
"2025-10-27",0
"2025-10-28",0
"2025-10-29",0
"2025-10-30",1.5155
"2025-10-31",0
"2025-11-01",0.4078
"2025-11-02",0
"2025-11-03",0.5593
"2025-11-04",0
"2025-11-05",0
"2025-11-06",0.0539
"2025-11-07",0
"2025-11-08",0
"2025-11-09",0.5563
"2025-11-10",0.4336
"2025-11-11",0
"2025-11-12",0
"2025-11-13",0
"2025-11-14",0
"2025-11-15",0
"2025-11-16",0
"2025-11-17",0
"2025-11-18",0
"2025-11-19",0
"2025-11-20",0
"2025-11-21",2.2293
"2025-11-22",0
"2025-11-23",0.1547
"2025-11-24",0.493
"2025-11-25",0
"2025-11-26",2.8696
"2025-11-27",0.2986
"2025-11-28",0
"2025-11-29",0.4565
"2025-11-30",0.0025
"2025-12-01",0
"2025-12-02",0
"2025-12-03",0
"2025-12-04",0.1953
"2025-12-05",0
"2025-12-06",0
"2025-12-07",0
"2025-12-08",0.285
"2025-12-09",0.186
"2025-12-10",0.1856
"2025-12-11",0
"2025-12-12",0.0684
"2025-12-13",0
"2025-12-14",0
"2025-12-15",0
"2025-12-16",0
"2025-12-17",0
"2025-12-18",0
"2025-12-19",0
"2025-12-20",0
"2025-12-21",1.6125
"2025-12-22",0
"2025-12-23",2.8435
"2025-12-24",0
"2025-12-25",2.5689
"2025-12-26",0
"2025-12-27",0.013
"2025-12-28",0
"2025-12-29",1.09
"2025-12-30",0
"2025-12-31",0
