,"(mm) Precipitation (CHIRPS) at Polygon 1, 2022-01-01 to 2022-12-31"
"2022-05-14",0.2077
"2022-05-15",2.343
"2022-05-16",12.7213
"2022-05-17",0
"2022-05-18",0
"2022-05-19",2.8153
"2022-05-20",14.913
"2022-05-21",0
"2022-05-22",5.4899
"2022-05-23",0
"2022-05-24",0
"2022-05-25",1.8184
"2022-05-26",7.7659
"2022-05-27",0
"2022-05-28",8.0798
"2022-05-29",7.7673
"2022-05-30",8.6814
"2022-05-31",0
"2022-06-01",0.001
"2022-06-02",0
"2022-06-03",0.53
"2022-06-04",21.5336
"2022-06-05",3.3119
"2022-06-06",8.1135
"2022-06-07",6.8712
"2022-06-08",9.0386
"2022-06-09",16.3733
"2022-06-10",3.9677
"2022-06-11",5.1993
"2022-06-12",9.1718
"2022-06-13",15.658
"2022-06-14",29.7557
"2022-06-15",45.2354
"2022-06-16",8.054
"2022-06-17",12.86
"2022-06-18",17.1703
"2022-06-19",3.3132
"2022-06-20",7.7734
"2022-06-21",0.0783
"2022-06-22",2.7092
"2022-06-23",0
"2022-06-24",17.9196
"2022-06-25",44.9128
"2022-06-26",51.9134
"2022-06-27",30.8759
"2022-06-28",2.7028
"2022-06-29",8.7771
"2022-06-30",0.1534
"2022-07-01",25.2032
"2022-07-02",25.2168
"2022-07-03",2.1214
"2022-07-04",0.1533
"2022-07-05",24.2599
"2022-07-06",2.1888
"2022-07-07",5.7821
"2022-07-08",72.8442
"2022-07-09",0.6524
"2022-07-10",0
"2022-07-11",0
"2022-07-12",0.8245
"2022-07-13",0.8082
"2022-07-14",5.5665
"2022-07-15",0.8322
"2022-07-16",8.545
"2022-07-17",0.5569
"2022-07-18",0.8564
"2022-07-19",5.0866
"2022-07-20",9.4017
"2022-07-21",14.8558
"2022-07-22",18.5849
"2022-07-23",20.0143
"2022-07-24",5.4336
"2022-07-25",3.4178
"2022-07-26",1.9435
"2022-07-27",27.425
"2022-07-28",1.3142
"2022-07-29",0.4116
"2022-07-30",11.8895
"2022-07-31",2.6655
"2022-08-01",9.9144
"2022-08-02",7.8036
"2022-08-03",8.3734
"2022-08-04",18.4222
"2022-08-05",11.2739
"2022-08-06",2.7941
"2022-08-07",8.8043
"2022-08-08",7.9535
"2022-08-09",14.9679
"2022-08-10",29.9158
"2022-08-11",0
"2022-08-12",0
"2022-08-13",11.0114
"2022-08-14",2.6343
"2022-08-15",0
"2022-08-16",0
"2022-08-17",0
"2022-08-18",77.1782
"2022-08-19",0.8643
"2022-08-20",0.3968
"2022-08-21",20.1392
"2022-08-22",1.1583
"2022-08-23",11.5411
"2022-08-24",0.225
"2022-08-25",0
"2022-08-26",0.0571
"2022-08-27",1.4057
"2022-08-28",0.1374
"2022-08-29",0
"2022-08-30",8.2009
"2022-08-31",1.2647
"2022-09-01",0.8865
"2022-09-02",0.4727
"2022-09-03",8.1864
"2022-09-04",0.0113
"2022-09-05",0.5067
"2022-09-06",53.496
"2022-09-07",15.2485
"2022-09-08",0.435
"2022-09-09",6.9493
"2022-09-10",0.6497
"2022-09-11",4.5653
"2022-09-12",10.1458
"2022-09-13",0.0174
"2022-09-14",0
"2022-09-15",0.5668
"2022-09-16",0.3898
"2022-09-17",1.1544
"2022-09-18",1.0345
"2022-09-19",37.367
"2022-09-20",0
"2022-09-21",2.605
"2022-09-22",0.4379
"2022-09-23",1.1738
"2022-09-24",6.5544
"2022-09-25",0.1717
"2022-09-26",23.1658
"2022-09-27",10.7947
"2022-09-28",5.3821
"2022-09-29",0.811
"2022-09-30",0.3221
"2022-10-01",0
"2022-10-02",0
"2022-10-03",9.2784
"2022-10-04",2.1723
"2022-10-05",2.4556
"2022-10-06",15.7299
"2022-10-07",22.781
"2022-10-08",0
"2022-10-09",19.7678
"2022-10-10",0.6237
"2022-10-11",3.1709
"2022-10-12",0
"2022-10-13",0
"2022-10-14",0
"2022-10-15",0
"2022-10-16",0
"2022-10-17",0
"2022-10-18",0.0011
"2022-10-19",2.4636
"2022-10-20",0.0187
"2022-10-21",1.4498
"2022-10-22",0
"2022-10-23",0.8203
"2022-10-24",0.5844
"2022-10-25",0
"2022-10-26",0.1744
"2022-10-27",3.302
"2022-10-28",0.2177
"2022-10-29",0
"2022-10-30",0
"2022-10-31",0
"2022-11-01",0
"2022-11-02",0
"2022-11-03",0.1604
"2022-11-04",0
"2022-11-05",0.0654
"2022-11-06",0
"2022-11-07",0
"2022-11-08",0.0175
"2022-11-09",0
"2022-11-10",0.076
"2022-11-11",0
"2022-11-12",0
"2022-11-13",0
"2022-11-14",0
"2022-11-15",0
"2022-11-16",0
"2022-11-17",0
"2022-11-18",0
"2022-11-19",0
"2022-11-20",0
"2022-11-21",0
"2022-11-22",0
"2022-11-23",0
"2022-11-24",0.0444
"2022-11-25",0.0302
"2022-11-26",0.0604
"2022-11-27",0
"2022-11-28",0
"2022-11-29",0
"2022-11-30",0
"2022-12-01",0.3767
"2022-12-02",0
"2022-12-03",0
"2022-12-04",0.0856
"2022-12-05",0.1252
"2022-12-06",0
"2022-12-07",0
"2022-12-08",1.215
"2022-12-09",0
"2022-12-10",0
"2022-12-11",0
"2022-12-12",0.1872
"2022-12-13",0.9496
"2022-12-14",0
"2022-12-15",0.4087
"2022-12-16",0
"2022-12-17",0
"2022-12-18",0.0264
"2022-12-19",0
"2022-12-20",0.5012
"2022-12-21",0
"2022-12-22",0
"2022-12-23",0
"2022-12-24",2.7204
"2022-12-25",0
"2022-12-26",0
"2022-12-27",0
"2022-12-28",0
"2022-12-29",0.0069
"2022-12-30",0
"2022-12-31",0.0115
